#PHOTRON WAVE DATA
#SheetType,,A
#Date,,2021/3/25
#Time,,22:30:0
#CameraType,,FASTCAM SA-X type 324K-M1
#CameraID,,15
#AnalogBoardType,,CONTEC AIO-163202FX-USB,
#AnalogBoardID,,00
#FrameRate(fps),,125
#SaveStep,,1
#ShutterSpeed(sec),,1/1000
#ImageWidth,,256
#ImageHeight,,1024
#TriggerMode,,End
#NumberOfFrames,,17391
#FrameRange,,-17390 to 0
#UseZeroFrame,,1
#SamplingRate(sps),,125.000000
#Sampling/Frame,,1
#NumberOfDatas,,17391
#Sloap,,,1.000000,1.000000
#Intercept,,,0.000000,0.000000

DataNo,FrameNo,SampleNo,Ch0,Ch1
567,-16823,0,0.207214,-0.004272
568,-16822,0,0.210876,-0.000916
569,-16821,0,0.214539,0.015259
570,-16820,0,0.238342,0.005188
571,-16819,0,0.245667,0.000916
572,-16818,0,0.193176,-0.002747
573,-16817,0,0.217285,0.007629
574,-16816,0,0.160522,-0.002441
575,-16815,0,0.217590,0.007629
576,-16814,0,0.225220,-0.009766
577,-16813,0,0.182800,-0.038147
578,-16812,0,0.193481,-0.016174
579,-16811,0,0.161438,-0.007019
580,-16810,0,0.206909,-0.016785
581,-16809,0,0.190735,-0.015869
582,-16808,0,0.196838,-0.009155
583,-16807,0,0.232849,-0.000305
584,-16806,0,0.210266,-0.007935
585,-16805,0,0.202637,0.019531
586,-16804,0,0.230103,0.000610
587,-16803,0,0.211487,0.002136
588,-16802,0,0.205383,-0.005493
589,-16801,0,0.270996,0.005798
590,-16800,0,0.205383,-0.021057
591,-16799,0,0.321655,0.010376
592,-16798,0,0.222778,-0.001526
593,-16797,0,0.206604,-0.007629
594,-16796,0,0.225525,0.011597
595,-16795,0,0.225220,-0.003357
596,-16794,0,0.205078,0.000000
597,-16793,0,0.222473,-0.002747
598,-16792,0,0.265808,-0.014038
599,-16791,0,0.232544,-0.005188
600,-16790,0,0.210571,-0.003357
601,-16789,0,0.220947,-0.007019
602,-16788,0,0.281982,-0.000305
603,-16787,0,0.212402,-0.003052
604,-16786,0,0.215454,-0.002747
605,-16785,0,0.159607,-0.003662
606,-16784,0,0.193176,-0.024414
607,-16783,0,0.221863,-0.014648
608,-16782,0,0.232544,-0.000916
609,-16781,0,0.200500,0.001526
610,-16780,0,0.179138,-0.000305
611,-16779,0,0.242004,0.003052
612,-16778,0,0.227966,0.004883
613,-16777,0,0.239258,-0.014648
614,-16776,0,0.183411,-0.008850
615,-16775,0,0.177002,-0.007935
616,-16774,0,0.201416,-0.023499
617,-16773,0,0.206299,-0.004272
618,-16772,0,0.278320,0.003662
619,-16771,0,0.247803,-0.005188
620,-16770,0,0.217285,-0.003967
621,-16769,0,0.269470,0.004578
622,-16768,0,0.291138,0.004578
623,-16767,0,0.257568,0.003662
624,-16766,0,0.212097,-0.007935
625,-16765,0,0.275269,0.016174
626,-16764,0,0.272217,-0.010376
627,-16763,0,0.244446,-0.002747
628,-16762,0,0.246887,0.010376
629,-16761,0,0.218506,-0.005493
630,-16760,0,0.317383,0.007935
631,-16759,0,0.255737,-0.005798
632,-16758,0,0.231628,0.003357
633,-16757,0,0.251465,0.012207
634,-16756,0,0.275879,-0.003967
635,-16755,0,0.254211,0.005188
636,-16754,0,0.264282,0.000000
637,-16753,0,0.334473,0.010681
638,-16752,0,0.299377,0.002441
639,-16751,0,0.209961,-0.009460
640,-16750,0,0.272522,0.007629
641,-16749,0,0.274658,0.003052
642,-16748,0,0.268555,-0.000916
643,-16747,0,0.259705,0.018921
644,-16746,0,0.142822,-0.010681
645,-16745,0,0.254517,0.025940
646,-16744,0,0.248718,0.010681
647,-16743,0,0.232239,0.000000
648,-16742,0,0.243530,-0.005493
649,-16741,0,0.290222,-0.001831
650,-16740,0,0.251160,0.016479
651,-16739,0,0.262146,0.023193
652,-16738,0,0.278015,0.000305
653,-16737,0,0.273743,-0.001831
654,-16736,0,0.287781,0.003357
655,-16735,0,0.286865,0.012512
656,-16734,0,0.235901,-0.007629
657,-16733,0,0.274963,0.010681
658,-16732,0,0.321960,0.010376
659,-16731,0,0.289001,0.034790
660,-16730,0,0.274658,0.006714
661,-16729,0,0.382996,0.023499
662,-16728,0,0.328064,0.011902
