teta  eps_rr  eps_tt  eps_rt  
79.343195    0.08552041  0.03508612  0.30167345
79.446328    0.08552321  0.03415410  0.30003116
79.549460    0.08552543  0.03322939  0.29839293
79.652593    0.08552706  0.03231196  0.29675882
79.755725    0.08552811  0.03140181  0.29512891
79.858857    0.08552858  0.03049892  0.29350329
79.961990    0.08552847  0.02960327  0.29188203
80.065122    0.08552778  0.02871486  0.29026521
80.168255    0.08552651  0.02783365  0.28865289
80.271387    0.08552466  0.02695965  0.28704515
80.374520    0.08552223  0.02609282  0.28544206
80.477652    0.08551922  0.02523315  0.28384369
80.580784    0.08551564  0.02438062  0.28225010
80.683917    0.08551149  0.02353522  0.28066138
80.787049    0.08550676  0.02269691  0.27907758
80.890182    0.08550145  0.02186569  0.27749877
80.993314    0.08549557  0.02104152  0.27592500
81.096446    0.08548913  0.02022439  0.27435635
81.199579    0.08548211  0.01941428  0.27279288
81.302711    0.08547451  0.01861115  0.27123464
81.405844    0.08546636  0.01781500  0.26968169
81.508976    0.08545763  0.01702578  0.26813410
81.612108    0.08544833  0.01624348  0.26659191
81.715241    0.08543847  0.01546808  0.26505518
81.818373    0.08542805  0.01469954  0.26352397
81.921506    0.08541706  0.01393783  0.26199832
82.024638    0.08540550  0.01318295  0.26047829
82.127770    0.08539339  0.01243484  0.25896392
82.230903    0.08538071  0.01169349  0.25745527
82.334035    0.08536747  0.01095887  0.25595238
82.437168    0.08535368  0.01023095  0.25445529
82.540300    0.08533932  0.00950970  0.25296406
82.643432    0.08532441  0.00879509  0.25147872
82.746565    0.08530895  0.00808709  0.24999931
82.849697    0.08529292  0.00738567  0.24852587
82.952830    0.08527635  0.00669079  0.24705845
83.055962    0.08525922  0.00600243  0.24559708
83.159094    0.08524154  0.00532056  0.24414179
83.262227    0.08522332  0.00464513  0.24269262
83.365359    0.08520454  0.00397613  0.24124961
83.468492    0.08518521  0.00331351  0.23981278
83.571624    0.08516534  0.00265724  0.23838216
83.674756    0.08514493  0.00200729  0.23695780
83.777889    0.08512397  0.00136363  0.23553970
83.881021    0.08510246  0.00072621  0.23412791
83.984154    0.08508042  0.00009501  0.23272244
84.087286    0.08505783  -0.00053001  0.23132332
84.190418    0.08503471  -0.00114888  0.22993057
84.293551    0.08501104  -0.00176165  0.22854422
84.396683    0.08498685  -0.00236834  0.22716428
84.499816    0.08496211  -0.00296899  0.22579078
84.602948    0.08493684  -0.00356365  0.22442372
84.706080    0.08491104  -0.00415233  0.22306314
84.809213    0.08488471  -0.00473509  0.22170904
84.912345    0.08485784  -0.00531196  0.22036144
85.015478    0.08483045  -0.00588298  0.21902035
85.118610    0.08480253  -0.00644818  0.21768578
85.221742    0.08477408  -0.00700760  0.21635775
85.324875    0.08474511  -0.00756127  0.21503626
85.428007    0.08471561  -0.00810925  0.21372133
85.531140    0.08468559  -0.00865155  0.21241295
85.634272    0.08465505  -0.00918823  0.21111114
85.737404    0.08462399  -0.00971932  0.20981590
85.840537    0.08459241  -0.01024486  0.20852724
85.943669    0.08456031  -0.01076488  0.20724516
86.046802    0.08452770  -0.01127943  0.20596966
86.149934    0.08449457  -0.01178854  0.20470074
86.253066    0.08446093  -0.01229225  0.20343840
86.356199    0.08442678  -0.01279061  0.20218264
86.459331    0.08439211  -0.01328364  0.20093347
86.562464    0.08435694  -0.01377139  0.19969087
86.665596    0.08432126  -0.01425389  0.19845484
86.768728    0.08428507  -0.01473119  0.19722538
86.871861    0.08424838  -0.01520333  0.19600248
86.974993    0.08421118  -0.01567033  0.19478614
87.078126    0.08417348  -0.01613225  0.19357635
87.181258    0.08413528  -0.01658912  0.19237309
87.284391    0.08409658  -0.01704097  0.19117637
87.387523    0.08405738  -0.01748785  0.18998617
87.490655    0.08401768  -0.01792979  0.18880248
87.593788    0.08397749  -0.01836684  0.18762529
87.696920    0.08393680  -0.01879903  0.18645458
87.800053    0.08389562  -0.01922640  0.18529035
87.903185    0.08385395  -0.01964899  0.18413257
88.006317    0.08381178  -0.02006684  0.18298125
88.109450    0.08376913  -0.02047998  0.18183635
88.212582    0.08372599  -0.02088845  0.18069786
88.315715    0.08368236  -0.02129229  0.17956578
88.418847    0.08363825  -0.02169154  0.17844007
88.521979    0.08359366  -0.02208623  0.17732073
88.625112    0.08354858  -0.02247641  0.17620773
88.728244    0.08350302  -0.02286211  0.17510105
88.831377    0.08345698  -0.02324337  0.17400068
88.934509    0.08341046  -0.02362022  0.17290660
89.037641    0.08336347  -0.02399270  0.17181878
89.140774    0.08331599  -0.02436086  0.17073720
89.243906    0.08326805  -0.02472471  0.16966185
89.347039    0.08321963  -0.02508431  0.16859269
89.450171    0.08317074  -0.02543969  0.16752971
89.553303    0.08312138  -0.02579088  0.16647288
89.656436    0.08307155  -0.02613792  0.16542219
89.759568    0.08302125  -0.02648085  0.16437759
89.862701    0.08297048  -0.02681970  0.16333908
89.965833    0.08291925  -0.02715450  0.16230662
90.068965    0.08286756  -0.02748530  0.16128020
90.172098    0.08281540  -0.02781212  0.16025978
90.275230    0.08276278  -0.02813501  0.15924534
90.378363    0.08270971  -0.02845399  0.15823685
90.481495    0.08265617  -0.02876911  0.15723428
90.584627    0.08260217  -0.02908038  0.15623761
90.687760    0.08254772  -0.02938786  0.15524682
90.790892    0.08249282  -0.02969157  0.15426187
90.894025    0.08243746  -0.02999155  0.15328273
90.997157    0.08238165  -0.03028783  0.15230938
91.100289    0.08232538  -0.03058043  0.15134179
91.203422    0.08226867  -0.03086941  0.15037993
91.306554    0.08221151  -0.03115478  0.14942377
91.409687    0.08215390  -0.03143659  0.14847329
91.512819    0.08209585  -0.03171485  0.14752844
91.615951    0.08203735  -0.03198962  0.14658921
91.719084    0.08197840  -0.03226091  0.14565557
91.822216    0.08191902  -0.03252875  0.14472747
91.925349    0.08185919  -0.03279319  0.14380490
92.028481    0.08179892  -0.03305425  0.14288783
92.131613    0.08173822  -0.03331196  0.14197621
92.234746    0.08167708  -0.03356635  0.14107003
92.337878    0.08161550  -0.03381745  0.14016926
92.441011    0.08155349  -0.03406529  0.13927385
92.544143    0.08149104  -0.03430991  0.13838379
92.647275    0.08142816  -0.03455133  0.13749903
92.750408    0.08136485  -0.03478958  0.13661956
92.853540    0.08130111  -0.03502469  0.13574533
