(sec),(mm),(kgf)
41.5,2.76653,3.02353
41.6,2.77339,3.00821
41.7,2.77998,3.02214
41.8,2.78662,3.00404
41.9,2.79348,3.02925
42,2.80002,3.02494
42.1,2.80661,3.00443
42.2,2.81336,3.02475
42.3,2.82,3.04694
42.4,2.82664,3.05429
42.5,2.83344,3.03842
42.6,2.84003,3.0324
42.7,2.84668,3.03931
42.8,2.85343,3.06624
42.9,2.85996,3.03319
43,2.86661,3.05875
43.1,2.8733,3.05982
43.2,2.88,3.05907
43.3,2.88675,3.05402
43.4,2.89334,3.05064
43.5,2.89993,3.08306
43.6,2.90673,3.06173
43.7,2.91327,3.09387
43.8,2.91986,3.07056
43.9,2.92671,3.0828
44,2.93336,3.10256
44.1,2.93994,3.08401
44.2,2.94675,3.09013
44.3,2.95328,3.09665
44.4,2.95998,3.09607
44.5,2.96678,3.09232
44.6,2.97327,3.09572
44.7,2.97991,3.11246
44.8,2.98677,3.11441
44.9,2.9933,3.11875
45,2.99994,3.12789
45.1,3.00669,3.10272
45.2,3.01339,3.12955
45.3,3.02003,3.14021
45.4,3.02662,3.1145
45.5,3.03327,3.11854
45.6,3.04002,3.13424
45.7,3.04666,3.13446
45.8,3.0533,3.13718
45.9,3.06005,3.14656
46,3.06669,3.13301
46.1,3.07328,3.12267
46.2,3.08003,3.15485
46.3,3.08657,3.15612
46.4,3.09327,3.16103
46.5,3.10018,3.17311
46.6,3.10666,3.15501
46.7,3.11325,3.15639
46.8,3.12016,3.18164
46.9,3.12664,3.18015
47,3.13323,3.17669
47.1,3.14003,3.19448
47.2,3.14668,3.16623
47.3,3.15332,3.18198
47.4,3.16007,3.19001
47.5,3.16666,3.18707
47.6,3.1733,3.18355
47.7,3.18,3.18726
47.8,3.18664,3.2049
47.9,3.19328,3.20596
48,3.19998,3.19065
48.1,3.20668,3.19307
48.2,3.21337,3.22092
48.3,3.21996,3.22406
48.4,3.22666,3.20508
48.5,3.23346,3.21178
48.6,3.23994,3.21389
48.7,3.24653,3.21454
48.8,3.25344,3.23665
48.9,3.25998,3.24078
49,3.26657,3.23452
49.1,3.27343,3.24302
49.2,3.28007,3.2484
49.3,3.28661,3.24801
49.4,3.29341,3.24133
49.5,3.29994,3.24511
49.6,3.30659,3.2485
49.7,3.31344,3.2698
49.8,3.32003,3.27421
49.9,3.32662,3.24408
50,3.33343,3.2591
50.1,3.34002,3.26411
50.2,3.3466,3.24715
50.3,3.3533,3.26057
50.4,3.35994,3.27633
50.5,3.36669,3.28262
50.6,3.37334,3.27704
50.7,3.37998,3.2854
50.8,3.38673,3.29448
50.9,3.39332,3.30262
51,3.39991,3.28132
51.1,3.40671,3.29919
51.2,3.4133,3.30525
51.3,3.41994,3.3039
51.4,3.4268,3.28578
51.5,3.43328,3.32862
51.6,3.43998,3.29473
51.7,3.44678,3.31877
51.8,3.45332,3.31223
51.9,3.45996,3.328
52,3.46671,3.33696
52.1,3.47335,3.31114
52.2,3.47994,3.32151
52.3,3.48669,3.35476
52.4,3.49339,3.34625
52.5,3.49998,3.31932
52.6,3.50673,3.33247
52.7,3.51332,3.3356
52.8,3.51996,3.33371
52.9,3.52671,3.33339
53,3.5333,3.35918
53.1,3.54,3.34706
53.2,3.54675,3.36856
53.3,3.55328,3.34853
53.4,3.56003,3.37562
53.5,3.56657,3.35688
53.6,3.57321,3.36275
53.7,3.58007,3.37697
53.8,3.58666,3.37259
53.9,3.59325,3.38265
54,3.6001,3.38061
54.1,3.60664,3.36307
54.2,3.61328,3.38371
54.3,3.62003,3.37894
54.4,3.62662,3.38779
54.5,3.63332,3.39117
54.6,3.64018,3.38646
54.7,3.64666,3.38751
54.8,3.6533,3.41176
54.9,3.66005,3.40806
55,3.66664,3.40853
55.1,3.67328,3.40088
55.2,3.68003,3.38567
55.3,3.68673,3.43465
55.4,3.69337,3.43318
55.5,3.70002,3.43502
55.6,3.70666,3.45139
55.7,3.71335,3.44307
55.8,3.72,3.42431
55.9,3.72659,3.43408
56,3.73339,3.43811
56.1,3.74003,3.42595
56.2,3.74662,3.43184
56.3,3.75343,3.44042
56.4,3.75996,3.44346
56.5,3.7666,3.46714
56.6,3.77346,3.45637
56.7,3.77989,3.48299
56.8,3.78653,3.45994
56.9,3.79344,3.46443
57,3.79998,3.46771
57.1,3.80657,3.47675
57.2,3.81343,3.47047
57.3,3.82002,3.48035
57.4,3.8266,3.49204
57.5,3.83335,3.48839
57.6,3.84,3.46575
57.7,3.84664,3.4814
57.8,3.85339,3.49984
57.9,3.85998,3.49263
58,3.86673,3.48842
58.1,3.87337,3.49184
58.2,3.87996,3.51959
58.3,3.88666,3.50938
58.4,3.89325,3.4913
58.5,3.9,3.51354
58.6,3.9068,3.50181
58.7,3.91328,3.5311
58.8,3.91993,3.54087
